OutputID,row_1_X_1,row_1_Y_1,row_1_X_2,row_1_Y_2,row_1_X_3,row_1_Y_3,row_1_X_4,row_1_Y_4,row_2_X_1,row_2_Y_1,row_2_X_2,row_2_Y_2,row_2_X_3,row_2_Y_3,row_2_X_4,row_2_Y_4,row_3_X_1,row_3_Y_1,row_3_X_2,row_3_Y_2,row_3_X_3,row_3_Y_3,row_3_X_4,row_3_Y_4,row_4_X_1,row_4_Y_1,row_4_X_2,row_4_Y_2,row_4_X_3,row_4_Y_3,row_4_X_4,row_4_Y_4,row_5_X_1,row_5_Y_1,row_5_X_2,row_5_Y_2,row_5_X_3,row_5_Y_3,row_5_X_4,row_5_Y_4,row_6_X_1,row_6_Y_1,row_6_X_2,row_6_Y_2,row_6_X_3,row_6_Y_3,row_6_X_4,row_6_Y_4,row_7_X_1,row_7_Y_1,row_7_X_2,row_7_Y_2,row_7_X_3,row_7_Y_3,row_7_X_4,row_7_Y_4,row_8_X_1,row_8_Y_1,row_8_X_2,row_8_Y_2,row_8_X_3,row_8_Y_3,row_8_X_4,row_8_Y_4,row_9_X_1,row_9_Y_1,row_9_X_2,row_9_Y_2,row_9_X_3,row_9_Y_3,row_9_X_4,row_9_Y_4,row_10_X_1,row_10_Y_1,row_10_X_2,row_10_Y_2,row_10_X_3,row_10_Y_3,row_10_X_4,row_10_Y_4,row_11_X_1,row_11_Y_1,row_11_X_2,row_11_Y_2,row_11_X_3,row_11_Y_3,row_11_X_4,row_11_Y_4,Type_0,Type_1,Type_2,Type_3,Type_4,Type_5,ImageLocation,MaskLocation
Image376_1TPP_4R_PL2.jpg,100,2587,3527,2619,3530,2353,100,2327,100,2316,3530,2347,3530,2077,102,2050,103,2041,3530,2072,3528,1803,105,1774,105,1764,3530,1796,3533,1533,108,1498,108,1488,3532,1529,3531,1259,114,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage376_1TPP_4R_PL2.jpg?alt=media&token=97a876c8-f0e0-4571-a889-d4fb96ff2821,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/128b0e1b538a827f132ed56b/cjhju1ruae2ji07025oisi3r2_Type0_straight_tray_mask.png""}"
Image208_1TPP_3R_MT.jpg,98,879,1529,894,1532,738,100,721,100,717,1536,736,1537,613,105,581,105,576,1538,605,1540,455,107,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage208_1TPP_3R_MT.jpg?alt=media&token=33767d5a-4089-46ff-9175-5d471e78dd80,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/c7bfdc7ae8975dd09777465c/cjhhmhunfadhn0756yntyzb7d_Type0_straight_tray_mask.png""}"
Image212_1TPP_3R_MT.jpg,100,868,1531,886,1535,735,105,715,105,711,1537,732,1539,606,108,575,108,573,1541,600,1544,456,108,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage212_1TPP_3R_MT.jpg?alt=media&token=7a99ef91-9517-4755-ab23-94170328f9cb,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/bdd6499fb89991a049d44e83/cjhicj7pia4m10702orc82mr7_Type0_straight_tray_mask.png""}"
Image202_1TPP_3R_MT.jpg,101,874,1531,891,1532,749,106,725,103,720,1534,740,1537,614,110,585,108,578,1539,611,1543,454,111,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage202_1TPP_3R_MT.jpg?alt=media&token=828f9c40-2c9e-4adf-96a4-1b2f2d1dca23,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/00054d9e6e3ac556a64ba347/cjhhgl2u97r5o0702b9qz960i_Type0_straight_tray_mask.png""}"
Image242_2TPP_4R_MT.JPG,103,1754,2492,1758,2502,1586,108,1582,109,1575,2505,1580,2507,1400,103,1384,105,1380,2512,1397,2514,1219,95,1199,96,1196,2516,1214,2518,1031,98,1021,100,947,2519,960,2522,786,103,762,104,760,2520,782,2525,597,107,582,110,579,2526,591,2519,409,110,401,109,389,2516,405,2520,219,121,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage242_2TPP_4R_MT.JPG?alt=media&token=7e7b649f-122a-4cbe-96c5-06beabf54fe6,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/8c5a244a17bdd91f740369ab/cjhj0fnrzg22m07565tw51ike_Type0_straight_tray_mask.png""}"
Image404_1TPP_5R_MT_FE.JPG,103,495,915,493,916,435,103,434,103,432,917,433,917,377,102,377,101,374,917,376,918,320,101,318,102,316,917,319,917,261,102,259,101,258,918,260,918,199,103,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage404_1TPP_5R_MT_FE.JPG?alt=media&token=fc9d5411-9e5e-4ad5-8497-9cca927fcf0f,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/90a1933d9a104eac8d87be20/cjhjo6os8kmux07562qzopcok_Type0_straight_tray_mask.png""}"
Image412_1TPP_5R_MT_FE.JPG,103,748,1213,735,1214,646,101,666,101,650,1214,636,1213,544,99,568,101,548,1213,533,1212,441,100,467,97,448,1212,430,1210,340,95,361,96,345,1209,327,1207,242,95,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage412_1TPP_5R_MT_FE.JPG?alt=media&token=03c3ae4f-8832-4214-adb7-7df0dcd1437c,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/c1a23ddd9368f41e452d842f/cjhjrolkidz9r0702pdjzz5ex_Type0_straight_tray_mask.png""}"
Image245_2TPP_4R_MT_FE.jpg,104,1150,1721,1157,1726,1045,100,1034,101,1029,1725,1040,1729,921,98,907,99,903,1729,917,1735,788,96,774,98,768,1736,787,1739,671,96,657,91,611,1736,624,1738,511,93,490,92,485,1738,507,1736,381,94,357,95,350,1737,377,1736,246,95,227,96,220,1735,243,1735,130,97,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage245_2TPP_4R_MT_FE.jpg?alt=media&token=38877705-e159-42b1-9b1f-d4423ddae1fa,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/574cbb9b7f07678aac90dcf7/cjhj2cutrg9ds0756f2okxsr9_Type0_straight_tray_mask.png""}"
Image206_1TPP_3R_MT.jpg,104,881,1533,890,1536,751,111,722,111,716,1538,744,1542,615,111,584,113,578,1543,611,1546,459,116,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage206_1TPP_3R_MT.jpg?alt=media&token=2a510b26-896c-4b6c-8409-77a205470dac,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/c640ac1546a669ff2cbfa87b/cjhhm44g3aciw0756uijyxypu_Type0_straight_tray_mask.png""}"
Image205_1TPP_3R_MT.jpg,106,883,1533,893,1539,754,107,729,107,725,1539,750,1540,617,109,593,111,589,1540,612,1542,460,113,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjhflh2qu0qwk0756dyr2j16z%2F100a2cba-ae19-470f-9474-2f20d34560f1%2FImage205_1TPP_3R_MT.jpg?alt=media&token=58fce9a3-a04f-41ad-b1d3-d9716efeed80,"{""Type0_straight_tray"":""https://imagemasks.s3.amazonaws.com/6d451412bac229c9d4efb999/cjhhltpnf86q607029u4vpmzf_Type0_straight_tray_mask.png""}"
